Date of Issue,Subject,Brief Description,url,
,Subscription to chit funds by Non-Resident Indian on non-repatriation basis,"NRIs permitted to subscribe to chit funds, without limit, on non-repatriation basis subject to conditions stipulated therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/636APDIR1073C790D4B75524DA8B03966E161419D28.PDF,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (FourthAmendment) Regulations, 2015","Regulation 2, and 8 amended with respect to issue of employee stock options and sweat equity shares.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CE3445ED1033BC3D64427900C8298A6B9BFA8.PDF,
,Rationalisation under Liberalised Remittance Scheme(LRS) for Current and Capital Account Transactions,"Liberalised Remittance Scheme (LRS) for resident individuals- increase in the limit from USD 125,000 to USD 250,000 and rationalisation of current account transactions and remittance facilities for persons other than individuals. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/CIR620D860AA6801E74AD9849659E254175944.PDF,
26-05-2015,"Foreign Exchange Management (Permissible Capital AccountTransactions) (Third Amendment) Regulations, 2015","Proviso to Regulation 4(a) amended to fix drawal limit at USD 250,000 per financial year. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NOTI34151A0EF6C1AAA4EC49D4E9A3B932AA5A2.PDF,
21-05-2015,External Commercial Borrowings (ECB) denominated in Indian Rupees (INR) - Mobilisation of INR ,"Recognised non-resident lenders permitted to enter into swap transactions with their overseas bank  which shall, in turn, enter  into  a back-to- back  swap  transaction  with  any  AD  Cat-I  bank in  India as  per the procedure stipulated therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/103CA5A9BFAFDC844F78AE7E77C1BA16809.PDF,
,Rupee Drawing Arrangement -Increase in trade related remittance limit,"Limit of trade transactions increased from Rs.5 lakhs to Rs.15 lakhs per transaction. Further, Ad banks permitted to regularise payments exceeding the prescribed limit under Rupee Drawing Arrangements subject to additional requirements mentioned therein.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT6032DFCB6F527AE4726B8AE43AC6CE2550B.PDF,
14-05-2015,Export of Goods and Services - Declaration of Exports of Goods/Software,Requirement of declaring export of goods / software in form SFD in case of exports taking place through Electronic Data Interchange (EDI) ports dispensed with as the mandatory statutory requirements contained in the SDF have been subsumed in the Shipping Bill format.  ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/599AP08536B55FA4244A089994E3A08DCE23B.PDF,
,Foreign Currency (Non-Resident) Account (Banks) (FCNR (B)) Scheme,Clarification that A2  form  is  to  be  filed  at  the  time  of purchase of foreign exchange using rupee funds and hence is not applicable while  remitting  FCNR  (B)  funds. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/596AD983FC55AD0980B42208AA8914943D18E1F.PDF,
30-04-2015,Merchanting Trade to Nepal and Bhutan,"Clarification that goods consigned  to  the  importers  of Nepal  and  Bhutan  from  third  countries  under  merchanting trade from India would qualify as traffic-in-
transit, if the goods are otherwise  compliant  with  the  provisions  of  the  India-Nepal Treaty  of  Transit and Indo-Bhutan Treaty of Transit respectively. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR97NT300415H339EE9523A114B259F2E7D030652D26F.PDF,
23-04-2015,"Foreign Exchange Management (Export of Goods & Services)(Amendment) Regulations, 2015",Regulation 3(1) amended to remove references to form SDF,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA3420306155259E3936D904204892C97544CED8423.PDF,
17-04-2015,Foreign Direct Investment (FDI) -Reporting under FDI Scheme on the e-Biz platform ,Contains details of financial  aspects  for  using  the Virtual  Private  Network  (VPN) accounts obtained from National Informatics Centre (NIC) for accessing the e-Biz portal,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIRCN950430ACD1539A4C0A818C5AC4624C21F3.PDF,
08-04-2015,Foreign Direct Investment (FDI) in India -Review of FDI policy -Sector Specific conditions-Insurance sector ,"FDI in Insurance sector shall be permitted up to 49% subject to the revised conditions specified in the Press Note 3 (2015 Series) dated March 2, 2015. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/94APDIR080415.pdf,
01-04-2015,Export of Goods and Services -Project Exports,limit of USD 20 million for Buyer’s credit which may be extended to foreign buyers in connection with export of goods on deferred payment terms and turn key projects from India withdrawn,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/93APDIREGAPE0415.pdf,
31-03-2015,Operational guidelines on International Financial Services Centre (IFSC),Clarification that a  financial  institution  or  a  branch  of  a financial institution set up in the IFSC and permitted/recognised as such by the Government or a Regulatory Authority shall be treated as person resident outside India.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/92APDIRIFSC0104.pdf,
,Risk Management and Inter-bank Dealings: Revised Position LimitsforForeign Portfolio Investors (FPIs)in the Exchange Traded Currency Derivatives (ETCD) market ,"The limit (long as well as short) for FPIs in USD-INR pair increased upto USD 15million per exchange. In addition,FPIs allowed to take long(bought)as well as short(sold)positions in EUR-INR, GBP-INR and JPY-INRpairs, all put together, upto USD 5million equivalent perexchange. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/91APDIR310315.pdf,
,Risk Management and Inter-bank Dealings: Revised Guidelines relating to participation of Residents in the Exchange Traded Currency Derivatives (ETCD) market ,"Exchange Traded Currency Derivatives Markets - signed undertaking by CFO or senior personnel accepted for importers and exporters, eligible limits for hedging by importers increased to 100% ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/90APDIR31032015.pdf,
25-03-2015,"Know Your Customer (KYC) Norms / Anti Money Laundering (AML) Standards/ Combating of Financing of Terrorism (CFT) / Obligations under Prevention of Money-laundering Act (PMLA), 2002-Money changing activities","Foreign Exchange Department not to issue the instructions to the Authorised Persons (APs) on the captioned subject separately and the instructions issued by Department of Banking Regulation, Central Office, Reserve Bank of India in this regard so far and from time to time in future, mutatis mutandis, shall be applicable to all APs.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR87NT250315.pdf,
,"Know Your Customer (KYC) Norms / Anti Money Laundering (AML) Standards/ Combating of Financing of Terrorism (CFT) / Obligations under Prevention of Money-laundering Act (PMLA), 2002-Money Transfer Service Scheme (MTSS)","Foreign Exchange Department not to issue the instructions to the Authorised Persons (APs) who are Indian Agents under Money Transfer Service Scheme on the captioned subject and the instructions issued by Department of Banking Regulation, Central Office, Reserve Bank of India in this regard so far and from time to time in future, mutatis mutandis, shall be applicable to all APs.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR88NTS250315.pdf,
18-03-2015,Non-Resident Deposits -Stat 5 and Stat 8 Returns -Discontinuation,Stat 5 and Stat 8 Returns from March 2015 discontinued.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR85NT0315.pdf,
11-03-2015,Acquisition/transfer of immovable property -Prohibition oncitizens of certain countries,"Citizens of Macau and Hong Kong will also be included in the list of countries which are prohibited to acquire/transfer immovable property in India in terms of Regulation 7 of Foreign Exchange Management (Acquisition and transfer of immovable property in India) Regulations, 2000",https://rbi.org.in/Scripts/BS_FemaNotifications.aspx?Id=175,
03-03-2015,External Commercial Borrowing (ECB) Policy - Review of all-in-cost ceiling ,"The all-in-cost ceiling as specified under paragraph 2 of A.P. (DIR Series) Circular No. 99 dated March 30, 2012 to  continue to be applicable till March 31, 2015",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR80NT0315.pdf,
,Trade Credits for Imports into India -Review of all-in-cost ceiling ,"The all-in-cost ceiling as specified under paragraph 2 of A.P. (DIR Series) Circular No. 99 dated March 30, 2012 to  continue to be applicable till March 31, 2015",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/81APDIR030315.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Third Amendment) Regulations, 2015",Amended Schedule 1 with respect to Other conditions and Insurance companies thereby increasing the limit to 49%,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEM340NT070415FR1FEDD1B68AA94B09B9B7AC87D6571FC7.PDF,
02-03-2015,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Second Amendment) Regulations, 2015",Amended Schedule 5 with respect to chit funds being approved for NRIs,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA338036153006E3DF65A64AD288829D1A303BD3F2.PDF,
,"Foreign Exchange Management (Permissible Capital Account Transactions) (Second Amendment) Regulations, 2015",Amendment with respect to permissibility of chit funds,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA337NT41334FCDDEBD45D4BD14BFBC1C30AC8E.PDF,
,"Foreign Exchange Management (International Financial Services Centre) Regulations, 2015",,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT339FM260315AC843BC4C6F144E898FBC5ACF71DFFA9.PDF,
18-02-2015,Guidelines on Import of Gold by Nominated Banks / Agencies ,,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/79APDIR180215.pdf,
13-02-2015,Risk Management and Inter Bank Dealings : Foreign Currency (FCY) - INR Swaps,"In cases where the underlying is still surviving, the client, on cancellation of the swap contract, may be permitted to re-enter into a fresh FCY-INR swap to hedge the underlying but only after the expiry of the tenor of the original swap contract that had been cancelled.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR78NT0215.pdf,
12-02-2015,"Foreign Exchange Management Act, 1999 - Import of Goods into India",Requirement of submitting request in Form A-1 to the AD Category -I Banks for making payments towards imports into India dispensed with,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR76CR0215NT.pdf,
,Foreign Direct Investment -Reporting under FDI Scheme on the e-Biz platform ,Advance Remittance Form (ARF) and FCGPR under the aegis of the e-Biz project to continue,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIRFDI0215.pdf,
09-02-2015,Delay in Utilization of Advance Received for Exports,AD Category -I banks  advised to efficiently follow up with the concerned exporters in order to ensure that export performance (shipments in case of export of goods) are completed within the stipulated time period. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR74DU090215.pdf,
06-02-2015,Foreign investment in India by Foreign Portfolio Investors,Contains queries received by RBI and clarifications thereto,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR73FII060215.pdf,
05-02-2015,Foreign investment in India by Foreign Portfolio Investors,"FPIs permitted to invest in government securities,the coupons received ontheir existing investments in government securities. Theseinvestments shall be kept outside the applicable limit (currently USD 30 billion)for investments by FPIs in government securities.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR72FI050215.pdf,
04-02-2015,"Foreign Exchange Management (Acquisition and Transfer ofImmovable Property in India) (Amendment) Regulations, 2015","Regulation 7 amended with respect to   Pakistan,  Bangladesh,  Sri  Lanka,  Afghanistan, China,  Iran,  Nepal,  Bhutan,  Macau  and  Hong  Kong  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA335NT0315CR.pdf,
03-02-2015,Foreign investment in India by Foreign Portfolio Investors,"All future investments by an FPIwithin the limit for investment in corporate bonds shall be required to be made in corporate bonds with a minimum residual maturity of three years.Further, all future investments against the limits vacated when the current investment runs off either through sale or redemption, shall be required to be made in corporate bonds with a minimum residual maturity of three years. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/71APDIR030215.pdf,
02-02-2015,Foreign Direct Investment in Pharmaceuticals sector -Clarification ,a special carve out for medical devices which was earlier given the same treatment as pharmaceutical sector to be made.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/70APDFD020215.pdf,
23-01-2015,External Commercial Borrowings (ECB) Policy - Simplification of Procedure,"AD Category - I banks delegated powers to allow change/modifications in the drawdown and repayment schedules, reduction in the amount of ECB and increase in all-in-cost of ECB subject to conditions mentioned therein. Further, change in the name of the lender of ECB permitted subject to stipulated conditions and cases requiring transfer of the ECB from one country to another also permitted subject to stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/64APDIRECB01015.pdf,
22-01-2015,Export and Import of Indian Currency,"Decided that an  individual  may  carry  to  Nepal  or  Bhutan, currency  notes  of Reserve  Bank  of  India  denominations  above  Rs.100/-,  i.e. currency  notes  of  Rs.500/-  and/or  Rs.1000/-  denominations,  subject  to  a  limit  of  Rs.25000/-. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/63APDIR22012015.pdf,
,"Foreign Exchange Management (Foreign Currency Accounts by a Person Resident in India) Regulations, 2000 - Remittance of salary ","Clarified that facility available to an employee of a company under Regulation 7(8) of Notification No. FEMA 10 (as amended from time to time) shall also be available to an employee who is deputed to a group company in India. In addition, the term ‘company’ referred to  in  the  said  regulation  will  include  ‘Limited  Liability Partnership’  as  defined  in  the LLP Act, 2008.  ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP62DIR220115RS.pdf,
,Depository Receipts Scheme ,Salient features of the Depository Receipts Scheme enlisted in the circular.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP61DIR220115DRR.pdf,
,Foreign Direct Investment (FDI) in India - Review of FDI policy -Sector Specific conditions- Construction Development,"Effective December 3, 2014 100% FDI under automatic route permitted in construction development sector subject to the conditions specified in the Press Note 10 (2014 Series) dated December 3, 2014. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR60NT012015.pdf,
,Overseas Direct Investments by proprietorship concern / unregistered partnership firm in India - Review,"Enlists the terms and conditions for considering the proposal of ODI by a proprietorship concern / unregistered partnership firm under the approval route. Some terms include track record of the concern/firm, KYC compliance, amount of proposed investment outside India does not exceed 10 per cent of the average of last three years’ export realisation or 200 per cent of the   net   owned   funds   of   the   proprietorship   concern   /   unregistered partnership firm in India, whichever is lower, etc. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP59DIR220115NTF.pdf,
14-01-2015,Risk Management and Inter Bank Dealings : Hedging under Past Performance Route -  Liberalisation of Documentation Requirements in the OTC market,"Importers and exporters required to furnish quarterly declarations as per Appendix M signed by CFO/CS, aggregate outstanding contracts in excess of 50 per cent of the eligible limit may be permitted by AD Category I banks on being satisfied about the genuine requirements of their customersafter examination of stipulated documents. Further, mentions that the Statutory Auditor ought to also certify amounts booked with the AD Category I banks under hte facility and that all guidelines have been adhered to while utilising the facility over the past financial year.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/58APDIR140115.PDF,
09-01-2015,"Foreign Exchange Management (Transfer or Issue of Security by a PersonResident outside India) (Amendment) Regulations, 2015",Amendment to Schedule 1 with respect to pharmaceuticals(limit raised to 100%) and Other Conditions,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/334NOTI290115.pdf,
06-01-2015,Non-resident guarantee for non-fund based facilities entered between two resident entities ,Residents that are subsidiaries of multinational companies permitted to hedge their foreign currency exposure through permissible derivative contracts executed with an AD Category - I bank in India on the strength of guarantee of its non-resident group entity. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR56NT0115.pdf,
01-01-2015,Security for External Commercial Borrowings,"AD Category-I banks permitted to allow creation of charge on immovable assets, movable assets, financial securities and issue of corporate and / or personal guarantees in favour of overseas lender / security trustee, to secure the ECB to be raised / raised by the borrower, subject to stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/55APD010115.pdf,
,,,,
2014,,,,
,,,,
29-12-2014,Overseas Direct Investments by Indian Party - Rationalization / Liberalization,"Liberalisation of regulations regarding ODI by Indian party. Change includes: permitting creation of charge on shares of JV/WOS/ step down subsidiary (SDS) in favour of domestic / overseas lender, creation of charge on the domestic assets in favour of overseas lenders to the JV/WOS/ step down subsidiary, creation of charge on overseas assets in favour of domestic lender subject to stipulated conditions.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR54ODI1214.pdf,
17-12-2014,"Foreign Exchange Management (Deposit) Regulations, 2000 - Exemption thereof","Exemptions, laid down in Foreign Exchange Management (Deposit) Regulation, 2000, issued vide Notification No. FEMA 5/2000-RB dated May 3, 2000 (as amended from time to time), to include deposits held in accounts maintained with an authorised dealer by any multilateral organization of which India is a member nation, and its subsidiary/affiliate bodies in India, and its or their officials in India. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR51NT171214.pdf,
16-12-2014,Rupee Drawing Arrangement - Delegation of work to Regional Offices-Submission of Statements / Returns,"Clarification that subsequent to delegation of Rupee Drawing Arrangement (RDA) work, Authorised  Dealer  Category  I  banks  are  required  to  make  all  their  correspondence with  Reserve  Bank  including  submission  of  prescribed  statements  to  the  Regional Office  of  the  Foreign  Exchange  Department  of  the  Reserve  Bank,  under  whose jurisdiction  their  registered  offices  function.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/50RDA161214FS.pdf,
,Money Transfer Service Scheme- Delegation of work to Regional Offices-Submission of Statements / Returns,"Clarification that that  subsequent  to  delegation  of  Money  Transfer  Service  Scheme  (MTSS) work,  all  Authorised  Persons,  who  are  Indian  agents  under  MTSS  are  required  to make all their correspondence with Reserve Bank including submission of prescribed statements  to  the  Regional  Office  of  the  Foreign  Exchange  Department  of  the Reserve Bank, under whose jurisdiction their registered offices function.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/49MTS161214FD.pdf,
,"Foreign Exchange Management (Export and Import of Currency) (Second Amendment) Regulations, 2014 ",Regulation 8 substituted to specify currency denominations permitted to be taken or sent out to Nepal or Bhutan.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEM331NT19015F.pdf,
15-12-2014,"Foreign Exchange Management (Transfer or issue of Security by a Person Resident outside India) (Seventeenth Amendment) Regulations, 2014",Regulation 2 and 13 and Schedule 1 amended with respect to depository receipts.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA330NT120115F.pdf,
09-12-2014,Overseas Investments by Alternative Investment Funds (AIF),"An Indian Alternative Investment Fund (AIF), registered with Securities and Exchange Board of India(SEBI), permitted to invest overseas in terms of the provisions issued under the A.P. (DIRSeries) Circulars No. 49 and 50 dated April 30, 2007 and May 04, 2007respectively.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/48AIFAP091214.pdf,
08-12-2014,Foreign Direct Investment (FDI) in India - Review of FDI policy - Sector Specificconditions- Railway Infrastructure,100% FDI permitted in railway infrastructure sector under automatic route subject to conditions. List of activities of the Railway Transport sector provided. Further clarified that FDI beyond 49 of the equity of the investee company in sensitive areas from security point of view will be brought before the Cabinet Committee on Security (CCS) for consideration on a case to case basis.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/47APDRA081214.pdf,
,Foreign Direct Investment (FDI) in India - Review of FDI policy -Sector Specific conditions,"Entries in Annex B to Schedule 1 to FEMA 20 modified with respect to Agriculture and Animal Husbandry, Defence,  Information Services, Trading, Financial Services, Banking - Private Sector, Commodity Exchanges, Credit Information Companies, Infrastructure companies in the securities market. Pharmaceuticals and Power Exchanges.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/45APDI081214.pdf,
,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Sixteenth Amendment) Regulations, 2014 ","Amended Schedule 1 with respect to construction development: townships, housing and built up infrastructure (100% automatic route) ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT329FEM140115FN.pdf,
,Foreign Direct Investment (FDI) in India - Review of FDI policy -Sector Specific conditions- Defence ,"Effective from August 26, 2014, foreign investment i.e. FDI, FIIs, RFPIs, NRIs, FVCIs and QFIs permitted upto 49% under government route in defence sector subject to the conditions specified in the Press Note 7 (2014 Series) dated August 26, 2014. Portfolio investment (RFPI/FII/NRI/QFI) and FVCI investment not  to exceed 24% of the total equity of the investee company. Portfolio investment to be under automatic route",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR46FDI081214.pdf,
03-12-2014,"Foreign Exchange Management (Foreign Currency Accounts by a Person Resident in India) (Amendment) Regulations, 2014","A citizen of a foreign State, resident in India, being an employee of aforeign company or a citizen of India, employed by a foreign company outside India and in either case on deputation to the office/branch/subsidiary/joint venture/ group companyin India of such foreign company may open, hold and maintain a foreign currency account with a bank outside India and receive the whole salary payable to him for the services rendered to the office/branch/subsidiary/joint venture/ group companyin India of such foreign company, by credit to such account, provided that incometax  chargeable under the Income-tax Act,1961 is paid on the entire salary as accrued in India",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/328FEMA120115.pdf,
02-12-2014,Remittance of Assets - Submission of Auditor’s certificate,"Mentions that Reserve Bank has amended the Principal  Regulations through the    Foreign    Exchange    Management    (Remittance    of Assets) (Amendment) Regulations, 2014  notified  vide Notification  No.  FEMA 324/2014-RB  dated  October  31,  2014,  c.f.  G.S.R.  No.  803  (E)  dated  November  14,  2014,  with  respect  to submitting certificates on tax payments. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/43SAC02122014.pdf,
28-11-2014,Import of Gold (under 20:80 Scheme) by Nominated Banks / Agencies / Entities,The 20:80 scheme and restrictions placed on import of gold withdrawn,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/42GOLD281114.pdf,
25-11-2014,Routing of funds raised abroad to India,Clarifies that Indian  companies  or  their  AD  Category  -  I  banks  are  not  allowed  to issue any direct or indirect guarantee or create any contingent liability or offer  any  security  in  any  form  for  such  borrowings  by  their  overseas holding  /  associate  /  subsidiary  /group companies  except  for  the purposes explicitly permitted in the relevant Regulations. Funds so obtained cannot be use din India unless they conform to the general specific permission granted under the relevant Regulations. Penal action for anyone who contravenes the provisions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/RF41APR251114.pdf,
24-11-2015,"Foreign Exchange Management (Deposit) (Amendment) Regulations, 2014 ","Regulation 4(5) amended with respect to deposits held in accounts maintained with an authorised dealer by any multilateral  organization  and  its  subsidiary/affiliate  bodies  and  officials  in India of such multilateral organisations, of which India is a member nation",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA327ENG1214FL.pdf,
21-11-2014,Release of Foreign Exchange for Haj/Umrah pilgrimage,"Authorised Dealers and Full Fledged Money Changers permitted to release the full amount of BTQ entitlement in cashor up to the cash limitspecified by the Haj Committee of India,to the Haj/Umrah pilgrims also.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/RF40APR1114F.pdf,
,External Commercial Borrowings (ECB) Policy - Parking of ECB proceeds ,AD Category -I banks permitted to allow eligible ECB borrowers to park ECB proceeds (both under the automatic and approval routes) in term deposits with AD Category- I banks in India for a maximum period of six months pending utilisation for permitted end uses subject to stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APR39NT1114F.pdf,
20-11-2014,Acquisition/Transfer of Immovable property - Payment of taxes,"Clarified that transactions involving acquisition of immovable property under the  Foreign  Exchange Management  (Acquisition  and  Transfer  of  immovable  property  in  India)  Regulations, 2000 regulations shall be subject to the applicable tax laws in India.",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR38CIR1114.pdf,
,"Export of Goods / Software / Services - Period of Realisation and Repatriation of Export Proceeds - For exporters including Units in SEZs, Status Holder Exporters, EOUs, Units in EHTPs, STPs and BTPs","period of realization and repatriation of export proceeds fixed at nine months from the date of export for all exporters including Units in SEZs, Status Holder Exporters, EOUs, Units in EHTPs, STPs & BTPs until further notice. ",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APDIR37CIR201114.pdf,
12-11-2014,"Foreign Exchange Management (Transfer or Issue of any Foreign Security) (Fifth Amendment) Regulations, 2014 ",Regulation 2 and 26 amended with respect to Alternative Investment Funds.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA326NT041214.pdf,
,"Foreign Exchange Management (Transfer or Issue of any Foreign Security) (Fourth Amendment) Regulations, 2014 ",Regulation 19A amended with respect to ODI by proprietorship concern / unregistered partnership firm in India and Schedule II deleted.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT325FE012015.pdf,
31-10-2014,"Foreign Exchange Management (Remittance of Assets) (Amendment) Regulations, 2014",Regulation 4 amended to include payment of applicable taxes,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA324FL011214.pdf,
17-10-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident Outside India) (Fifteenth Amendment) Regulations, 2014 ",Explanation to Regulation 2 clause viii b deleted,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/323FEMA091214.pdf,
16-10-2014,"Foreign Exchange Management Act, 1999 (FEMA)Foreign Exchange (Compounding Proceedings) Rules, 2000 (the Rules) -Compounding of Contraventions under FEMA, 1999",Further powers delegated to the Regional Offices of the RBI,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/36APDIR102014.pdf,
14-10-2014,"Foreign Exchange Management (Transfer or Issue of any Foreign Security) (Third Amendment) Regulations, 2014",Regulation 18 amended with respect to pledge of shares of JV/WOS and SDS, Regulation 18A amended with respect to creation of charge on domestic and foreign assets,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA322NOTF151214.pdf
09-10-2014,Memorandum of Instructions for Opening and Maintenance of Rupee / Foreign Currency Vostro Accounts of Non-resident Exchange Houses ,Remittances to the Prime Minister’s National Relief Fund permitted through the Exchange Houses subject to the condition that the remittances are directly credited to the Fund by the banks and the banks maintain full details of the remitters. ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/35APD091014.pdf,
26-09-2014,"Foreign Exchange Management (Acquisition and Transfer ofImmovable Property in India) (Amendment) Regulations, 2014",Regulation 8 amended to account for applicable tax laws in India,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA321FL1114.pdf,
17-09-2014,Foreign Direct Investment (FDI) in India - Issue of equity shares under theFDI Scheme against legitimate dues,"Permits issue of equity shares against anyother funds payable by the investee company, remittance of which does notrequire prior permission of the Government of India or Reserve Bank of Indiaunder FEMA, 1999 or any rules/ regulations framed or directions  issued thereunder, subject to stipulated conditions",https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD31FDI0914.pdf,
15-09-2014,Data on Import of Gold Statement- Submission under XBRL ,Decided to move from manual reporting of the above mentioned statements to eXtensible Business Reporting Language (XBRL) system from half year ended September 2014,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/APD30DIG0914.pdf,
08-09-2014,Risk Management and Inter Bank Dealings: Hedging Facilities for ForeignPortfolio Investors (FPIs),FPIs permitted to hedge the couponreceipts arising out of their investments in debt securities in India falling due during the following twelve months subject to the condition that the hedge contracts shallnot be eligible for rebooking on cancellation. The contracts can however be rolledover on maturity provided the relative coupon amount is yet to be received.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP28080914F.pdf,
05-09-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Thirteenth Amendment) Regulations, 2014",Amendment of Regulation 14 and Schedule 1 with respect to the Defence sectors.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA319FL050914.pdf,
05-09-2014,"Foreign Exchange Management (Transfer or Issue of Security by a Person Resident outside India) (Fourteenth Amendment) Regulations, 2014",Amended to Schedule 1 regarding prohibited sectors.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMA320FL011214.pdf,
04-09-2014,"Foreign Exchange Management (Manner of Receipt & Payment) (Second Amendment) Regulations, 2014",Regulation 3 and Regulation 5 amended with respect to payments for export of goods / software ,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/FEMAN318012015.pdf,
,"Foreign Exchange Management (Export of Goods & Services)(Fourth Amendment) Regulations, 2014",Regulation 3 and Regulation 16 amended with respect to declaration of export proceeds in respect of export of goods / software,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/NT317FE012015.pdf,
03-09-2014,External Commercial Borrowings (ECB) in Indian Rupees,Recognised non-resident ECB lenders permitted to extend loans in INR subject to stipulated conditions.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/AP25E030914F.pdf,
28-08-2014,Purchase and sale of securities other than shares or convertible debenturesof an Indian company by a person resident outside India,Stipulations regarding the manner of acquisition removed. Eligible investors permitted to acquire securities in any manner as per the prevalent/approved market practice.,https://rbidocs.rbi.org.in/rdocs/notification/PDFs/22APD280814.pdf,
